Number,Title,Description,Categories,Video,Timestamp,PrimaryGroup
18,"Waffle Generator","Use WaffleGenerator instead of Lorem Ipsum for more realistic text data in tests.","tooling,libraries","https://www.youtube.com/watch?v=8F-Pb-SKO5g","11:54","Tooling & DX"
20,"NaughtyStrings","Use the NaughtyStrings library to test your application against dangerous or edge-case string inputs.","tooling,security","https://www.youtube.com/watch?v=8F-Pb-SKO5g","13:05","Tooling & DX"
21,"InterpolatedParser","A library that reverses string interpolation to extract values from a string based on a pattern.","tooling,libraries","https://www.youtube.com/watch?v=8F-Pb-SKO5g","13:33","Tooling & DX"
22,"Alias any type","Use the 'using' directive to alias tuples, pointers, or complex generic types for better readability.","language,syntax","https://www.youtube.com/watch?v=8F-Pb-SKO5g","14:12","Language & syntax"
23,"DateTimeOffset over DateTime","Use DateTimeOffset to store absolute time with offset info, avoiding time zone ambiguity.","language,datetime","https://www.youtube.com/watch?v=8F-Pb-SKO5g","14:50","Language & syntax"
24,"Enforce architecture with NetArchTest","Use NetArchTest to write unit tests that enforce dependency rules between namespaces.","architecture,testing","https://www.youtube.com/watch?v=8F-Pb-SKO5g","15:31","Design & architecture"
25,"Assertion libraries alternatives","Alternatives to FluentAssertions include Awesome Assertions and Shouldly.","tooling,testing","https://www.youtube.com/watch?v=8F-Pb-SKO5g","16:04","Tooling & DX"
26,"CallerArgumentExpression","Captures the expression used for an argument as a string. Great for logging or validation errors (e.g., knowing the variable name passed to a check).","language,attributes,validation","https://www.youtube.com/watch?v=8F-Pb-SKO5g","16:35","Language & Syntax"
27,"CallerMemberName","Captures the name of the calling method/property. Standard for INotifyPropertyChanged to avoid magic strings.","language,attributes,mvvm","https://www.youtube.com/watch?v=8F-Pb-SKO5g","17:05","Language & Syntax"
28,"Null Coalescing Assignment (??=)","Assigns a value to a variable only if it is null. Simplifies lazy initialization patterns.","language,syntax,clean-code","https://www.youtube.com/watch?v=8F-Pb-SKO5g","17:30","Language & Syntax"
29,"Null Forgiving Operator (!)","Suppress nullable warnings when you know a value isn't null but the compiler doesn't.","language,syntax,safety","https://www.youtube.com/watch?v=8F-Pb-SKO5g","17:55","Language & Syntax"
30,"Range Operator (..)","Slice arrays using range syntax (e.g., 1..^1) instead of Skip/Take.","language,syntax,collections","https://www.youtube.com/watch?v=8F-Pb-SKO5g","18:15","Language & Syntax"
31,"Index from End (^)","Access elements from the end of a list using the hat operator (e.g., ^1 is the last item).","language,syntax,collections","https://www.youtube.com/watch?v=8F-Pb-SKO5g","18:38","Language & Syntax"
32,"StackAlloc","Allocate memory on the stack for small arrays to avoid GC pressure. Best used with Span<T>.","runtime-performance,memory,unsafe","https://www.youtube.com/watch?v=8F-Pb-SKO5g","19:10","Runtime & Performance"
33,"SkipLocalsInit","Attribute to skip zero-initialization of locals for a small perf gain in tight loops.","runtime-performance,advanced","https://www.youtube.com/watch?v=8F-Pb-SKO5g","19:45","Runtime & Performance"
34,"AggressiveInlining","Hint the JIT to inline a method to remove call overhead. Use only for small, hot methods.","runtime-performance,jit","https://www.youtube.com/watch?v=8F-Pb-SKO5g","20:15","Runtime & Performance"
35,"Conditional Attribute","Mark methods with [Conditional(""DEBUG"")] so calls to them are removed in Release builds.","debugging,compiler","https://www.youtube.com/watch?v=8F-Pb-SKO5g","20:50","Tooling & Debugging"
36,"Obsolete Attribute","Mark code as deprecated. Use true to force a compiler error and stop usage immediately.","tooling,maintenance","https://www.youtube.com/watch?v=8F-Pb-SKO5g","21:20","Tooling & Debugging"
37,"Module Initializers","Code that runs once when an assembly is loaded. Useful for registering dependencies or configuration.","language,startup,advanced","https://www.youtube.com/watch?v=8F-Pb-SKO5g","21:55","Design & Architecture"
38,"Static Anonymous Functions","Mark lambdas static to prevent accidental closure capture and allocation.","language,performance","https://www.youtube.com/watch?v=8F-Pb-SKO5g","22:45","Language & Syntax"
39,"GetEnumerator Extension","Add foreach support to any type by creating a GetEnumerator extension method for it.","language,syntax,duck-typing","https://www.youtube.com/watch?v=8F-Pb-SKO5g","23:15","Language & Syntax"
40,"Using Declarations","Use 'using var' to dispose objects at the end of scope without extra braces.","language,syntax,clean-code","https://www.youtube.com/watch?v=8F-Pb-SKO5g","23:45","Language & Syntax"
41,"File-scoped Namespaces","Declare namespace at the top of the file (namespace X;) to reduce indentation.","language,syntax,clean-code","https://www.youtube.com/watch?v=8F-Pb-SKO5g","24:10","Language & Syntax"
42,"Global Usings","Define usings in one file that apply to the whole project (e.g., global using System;).","language,syntax,project-structure","https://www.youtube.com/watch?v=8F-Pb-SKO5g","24:35","Language & Syntax"
43,"Implicit Usings","Let the SDK automatically add common usings based on your project type.","language,tooling","https://www.youtube.com/watch?v=8F-Pb-SKO5g","24:55","Language & Syntax"
44,"String.Create","High-performance way to create strings using spans and a callback to avoid intermediate allocations.","runtime-performance,strings","https://www.youtube.com/watch?v=8F-Pb-SKO5g","25:30","Runtime & Performance"
45,"TryParse with Span","Parse numbers or other types directly from a Span<char> (substring) without allocating a string first.","runtime-performance,parsing","https://www.youtube.com/watch?v=8F-Pb-SKO5g","26:10","Runtime & Performance"
46,"ValueStringBuilder","A stack-based StringBuilder (often internal or custom) to build strings without heap allocation.","runtime-performance,strings,advanced","https://www.youtube.com/watch?v=8F-Pb-SKO5g","26:40","Runtime & Performance"
47,"ArrayPool","Rent arrays from a shared pool to avoid allocating large buffers repeatedly.","runtime-performance,memory,pooling","https://www.youtube.com/watch?v=8F-Pb-SKO5g","27:10","Runtime & Performance"
48,"RecyclableMemoryStream","A Microsoft library that pools MemoryStream buffers to reduce Gen 2 GC collections.","runtime-performance,memory,libraries","https://www.youtube.com/watch?v=8F-Pb-SKO5g","27:50","Runtime & Performance"
49,"Source Generators (JSON)","Use System.Text.Json source generators to generate serialization code at compile time for better perf and AOT support.","runtime-performance,json,aot","https://www.youtube.com/watch?v=8F-Pb-SKO5g","28:30","Runtime & Performance"
50,"Frozen Collections","Use FrozenDictionary/FrozenSet in .NET 8 for read-heavy immutable collections. optimized for lookup speed.","runtime-performance,collections,net8","https://www.youtube.com/watch?v=8F-Pb-SKO5g","29:15","Runtime & Performance"
51,"Switch Expressions","Use functional switch expressions for cleaner code and exhaustive pattern matching.","language,syntax","https://www.youtube.com/watch?v=8F-Pb-SKO5g","30:05","Language & Pattern Matching"
52,"Property Pattern Matching","Match directly on object properties inside patterns (e.g., obj is { Id: 1 }).","language,pattern-matching","https://www.youtube.com/watch?v=8F-Pb-SKO5g","30:45","Language & Pattern Matching"
53,"Logical Patterns","Use 'and', 'or', and 'not' keywords to combine pattern checks legibly.","language,pattern-matching","https://www.youtube.com/watch?v=8F-Pb-SKO5g","31:20","Language & Pattern Matching"
54,"Positional Patterns","Deconstruct objects directly in pattern matching if they support it.","language,pattern-matching","https://www.youtube.com/watch?v=8F-Pb-SKO5g","31:55","Language & Pattern Matching"
55,"Var Pattern","Use 'is var x' to assign a variable inside a boolean expression or complex condition.","language,pattern-matching","https://www.youtube.com/watch?v=8F-Pb-SKO5g","32:25","Language & Pattern Matching"
56,"ValueTask","Return ValueTask<T> to avoid allocations when async methods often complete synchronously.","async,performance","https://www.youtube.com/watch?v=8F-Pb-SKO5g","33:10","Async & Threading"
57,"IAsyncEnumerable","Stream data asynchronously using yield return instead of buffering huge lists in memory.","async,collections","https://www.youtube.com/watch?v=8F-Pb-SKO5g","33:45","Async & Threading"
58,"EnumeratorCancellation","Use [EnumeratorCancellation] to properly pass cancellation tokens to async iterators.","async,best-practices","https://www.youtube.com/watch?v=8F-Pb-SKO5g","34:20","Async & Threading"
59,"Parallel.ForEachAsync","Safely run async operations in parallel with built-in concurrency limits.","async,parallel","https://www.youtube.com/watch?v=8F-Pb-SKO5g","34:55","Async & Threading"
60,"PeriodicTimer","Use PeriodicTimer for async loops instead of Task.Delay to avoid timer drift.","async,threading","https://www.youtube.com/watch?v=8F-Pb-SKO5g","35:25","Async & Threading"
61,"Records","Use 'record' for immutable reference types with value-based equality.","language,clean-code","https://www.youtube.com/watch?v=8F-Pb-SKO5g","35:10","Language & Pattern Matching"
62,"Record Structs","Use 'record struct' for lightweight, stack-allocated immutable data.","language,performance","https://www.youtube.com/watch?v=8F-Pb-SKO5g","35:45","Language & Pattern Matching"
63,"With Expression","Use 'with' to create a non-destructive copy of a record with modified properties.","language,syntax","https://www.youtube.com/watch?v=8F-Pb-SKO5g","36:15","Language & Pattern Matching"
64,"Init Only Setters","Use 'init' setters to allow object initialization while keeping properties immutable post-creation.","language,design","https://www.youtube.com/watch?v=8F-Pb-SKO5g","36:45","Language & Pattern Matching"
65,"Required Members","Use 'required' keyword to enforce property initialization at compile time.","language,safety","https://www.youtube.com/watch?v=8F-Pb-SKO5g","37:10","Language & Pattern Matching"
66,"Extension Methods on Interfaces","Add default implementation behavior to interfaces without breaking existing classes.","language,patterns","https://www.youtube.com/watch?v=8F-Pb-SKO5g","37:35","Language & Syntax"
67,"Local Functions vs Lambdas","Prefer local functions for better performance and easier debugging compared to Func<> delegates.","language,performance","https://www.youtube.com/watch?v=8F-Pb-SKO5g","38:00","Language & Syntax"
68,"Static Local Functions","Use static on local functions to prevent accidental variable capture and allocation.","language,performance","https://www.youtube.com/watch?v=8F-Pb-SKO5g","38:30","Language & Syntax"
69,"Using Alias Directives","Alias complex tuples or generics (using Grid = List<List<int>>) for readability.","language,syntax","https://www.youtube.com/watch?v=8F-Pb-SKO5g","39:00","Language & Syntax"
70,"User Secrets","Never store secrets in code. Use the dotnet user-secrets tool for local dev.","security,tooling","https://www.youtube.com/watch?v=8F-Pb-SKO5g","40:10","Security & Web API"
71,"EditorConfig (Formatting)","Enforce code style rules across your team automatically.","tooling,consistency","https://www.youtube.com/watch?v=8F-Pb-SKO5g","40:35","Tooling & Architecture"
72,"Polyfills","Use polyfill packages to enable newer C# features on older .NET runtimes.","tooling,compatibility","https://www.youtube.com/watch?v=8F-Pb-SKO5g","41:00","Tooling & Architecture"
73,"Benchmarks","Always measure, don't guess. Use BenchmarkDotNet to verify performance claims.","tooling,performance","https://www.youtube.com/watch?v=8F-Pb-SKO5g","41:25","Tooling & Architecture"
74,"Disassembler","Use SharpLab.io or plugins to see the IL/Assembly code your C# generates.","tooling,advanced","https://www.youtube.com/watch?v=8F-Pb-SKO5g","41:50","Tooling & Architecture"
75,"NuGet Package Explorer","Inspect the contents and metadata of NuGet packages before installing them.","tooling,security","https://www.youtube.com/watch?v=8F-Pb-SKO5g","42:10","Tooling & Architecture"
76,"DI Scopes","Understand Transient vs Scoped vs Singleton to avoid memory leaks (Captive Dependencies).","architecture,DI","https://www.youtube.com/watch?v=8F-Pb-SKO5g","42:30","Advanced & Architecture"
77,"Keyed Services","(NET 8) Register multiple implementations of an interface and retrieve them by key.","architecture,DI","https://www.youtube.com/watch?v=8F-Pb-SKO5g","43:10","Advanced & Architecture"
78,"Lazy<T>","Use Lazy<T> for expensive objects that might not always be needed in a request.","performance,design","https://www.youtube.com/watch?v=8F-Pb-SKO5g","43:40","Advanced & Architecture"
79,"Scrutor","Library to scan assemblies and auto-register services in DI by convention (e.g., all classes implementing IRepository).","tooling,DI,libraries","https://www.youtube.com/watch?v=8F-Pb-SKO5g","44:00","Advanced & Architecture"
80,"Options Pattern","Bind configuration to strong types using IOptions<T> instead of reading raw strings.","architecture,configuration","https://www.youtube.com/watch?v=8F-Pb-SKO5g","44:20","Advanced & Architecture"
81,"Options Validation","Use DataAnnotations on Options classes to validate config at startup.","architecture,validation","https://www.youtube.com/watch?v=8F-Pb-SKO5g","44:55","Advanced & Architecture"
82,"Feature Flags","Use Microsoft.FeatureManagement to toggle features on/off without redeploying.","architecture,devops","https://www.youtube.com/watch?v=8F-Pb-SKO5g","45:20","Advanced & Architecture"
83,"Memory<T>","Use Memory<T> to store span-like data on the heap or pass it to async methods.","runtime-performance,memory","https://www.youtube.com/watch?v=8F-Pb-SKO5g","45:45","Runtime & Performance"
84,"Ref Structs","Force types to be stack-only (like Span) to ensure zero GC allocation.","language,performance","https://www.youtube.com/watch?v=8F-Pb-SKO5g","46:10","Runtime & Performance"
85,"In Parameter Modifier","Pass large structs by reference (read-only) to avoid copying overhead.","language,performance","https://www.youtube.com/watch?v=8F-Pb-SKO5g","46:35","Runtime & Performance"
86,"Out Parameter Modifier","Use 'out' to return multiple values from a method (though tuples are often cleaner now).","language,syntax","https://www.youtube.com/watch?v=8F-Pb-SKO5g","47:00","Language & Syntax"
87,"Ref Parameter Modifier","Pass variables by reference to allow the method to modify the original variable.","language,syntax","https://www.youtube.com/watch?v=8F-Pb-SKO5g","47:20","Language & Syntax"
88,"Scoped Ref","Constrain the lifetime of a ref to the current method scope for safety.","language,advanced","https://www.youtube.com/watch?v=8F-Pb-SKO5g","47:40","Language & Syntax"
89,"Unsafe Code","Use 'unsafe' blocks for pointer arithmetic when raw performance is critical.","language,advanced","https://www.youtube.com/watch?v=8F-Pb-SKO5g","47:50","Runtime & Performance"
90,"EditorConfig","Enforce code style and formatting rules across the team using an .editorconfig file.","tooling,consistency","https://www.youtube.com/watch?v=8F-Pb-SKO5g","48:00","Final Polish"
91,"TreatWarningsAsErrors","Force warnings to break the build in CI to maintain high code quality.","devops,quality","https://www.youtube.com/watch?v=8F-Pb-SKO5g","48:30","Final Polish"
92,"Analyzers","Install Roslyn Analyzers to automatically detect bugs and enforce best practices in the editor.","tooling,quality","https://www.youtube.com/watch?v=8F-Pb-SKO5g","49:00","Final Polish"
93,"BannedApiAnalyzers","Use this analyzer to prevent usage of dangerous APIs (e.g., DateTime.Now) across the team.","tooling,quality","https://www.youtube.com/watch?v=8F-Pb-SKO5g","49:25","Final Polish"
94,"Module Initializers","Run code automatically when an assembly loads using [ModuleInitializer].","language,startup","https://www.youtube.com/watch?v=8F-Pb-SKO5g","50:15","Language & Syntax"
95,"Function Pointers","Use C# 9 function pointers (delegate*) for high-performance interop scenarios.","language,advanced","https://www.youtube.com/watch?v=8F-Pb-SKO5g","50:45","Language & Syntax"
96,"Unsafe Code (Pointers)","(Reiteration) Access memory directly for interop or optimization.","language,advanced","https://www.youtube.com/watch?v=8F-Pb-SKO5g","51:30","Runtime & Performance"
97,"Native Integers (nint)","Use 'nint' for integers that match the native pointer size (32 or 64 bit).","language,interop","https://www.youtube.com/watch?v=8F-Pb-SKO5g","52:00","Language & Syntax"
98,"Checked/Unchecked","Use checked context to throw overflow exceptions, unchecked for performance.","language,arithmetic","https://www.youtube.com/watch?v=8F-Pb-SKO5g","52:25","Language & Syntax"
99,"Volatile Keyword","Ensure a field is read from memory every time (no register caching) for threads.","threading,advanced","https://www.youtube.com/watch?v=8F-Pb-SKO5g","52:50","Async & Threading"
100,"Interlocked","Atomic operations (Increment, Exchange) for variables shared between threads.","threading,performance","https://www.youtube.com/watch?v=8F-Pb-SKO5g","53:15","Async & Threading"
101,"Discards for unused deconstruction","Use underscore (_) to discard unused values when deconstructing tuples.","language,syntax","https://www.youtube.com/watch?v=V2uRyxffnHA","01:03","Language & syntax"
102,"Raw string literals","Use triple quotes for multi-line strings that ignore escape characters.","language,syntax","https://www.youtube.com/watch?v=V2uRyxffnHA","01:27","Language & syntax"
103,"SetsRequiredMembers attribute","Use [SetsRequiredMembers] on custom constructors that handle required properties manually.","language,compiler","https://www.youtube.com/watch?v=V2uRyxffnHA","01:58","Language & syntax"
104,"Init keyword polyfill","Enable 'init' on older runtimes by defining the IsExternalInit class manually.","language,compatibility","https://www.youtube.com/watch?v=V2uRyxffnHA","02:22","Language & syntax"
105,"CollectionBuilder attribute","Enable collection expressions for custom types using the [CollectionBuilder] attribute.","language,syntax","https://www.youtube.com/watch?v=V2uRyxffnHA","02:51","Language & syntax"
106,"Avoid boolean parameters","Replace parameters like SetActive(true) with explicit methods Activate() / Deactivate().","clean-code,api-design","https://www.youtube.com/watch?v=V2uRyxffnHA","03:13","Design & architecture"
107,"Never block threads with Thread.Sleep","Always use await Task.Delay() instead of Thread.Sleep() to avoid blocking threads.","async,best-practices","https://www.youtube.com/watch?v=V2uRyxffnHA","03:35","Tooling & DX"
108,"String concatenation with null","String + null results in the original string (null is treated as empty). Be careful of masked bugs.","language,gotchas","https://www.youtube.com/watch?v=V2uRyxffnHA","04:07","Language & syntax"
109,"Static abstract members","Interfaces can now have static abstract members, enabling Generic Math patterns.","language,generics","https://www.youtube.com/watch?v=V2uRyxffnHA","04:38","Language & syntax"
110,"The field keyword","(C# 13) Access auto-property backing fields using 'field' keyword.","language,syntax","https://www.youtube.com/watch?v=V2uRyxffnHA","04:58","Language & syntax"
111,"Sealed classes","Seal classes by default to improve performance and prevent unintended inheritance.","language,performance","https://www.youtube.com/watch?v=V2uRyxffnHA","05:20","Language & syntax"
112,"Method groups","Pass methods directly (Method) instead of delegates (x => Method(x)) for cleaner code.","language,syntax","https://www.youtube.com/watch?v=V2uRyxffnHA","05:51","Language & syntax"
113,"Pre-size List capacity","Pass capacity to List constructor to avoid resizing overhead.","runtime-performance,collections","https://www.youtube.com/watch?v=V2uRyxffnHA","06:16","Runtime & performance"
114,"Structured logging over interpolation","(Same as Tip 7) Use templates for logging to save memory.","logging,performance","https://www.youtube.com/watch?v=V2uRyxffnHA","06:48","Design & architecture"
115,"Avoid async work in constructors","Don't block constructors with .Result. Use async factory methods.","design,async","https://www.youtube.com/watch?v=V2uRyxffnHA","07:13","Design & architecture"
116,"Use ConcurrentDictionary","Prefer ConcurrentDictionary over manually locking a Dictionary.","threading,collections","https://www.youtube.com/watch?v=V2uRyxffnHA","07:38","Runtime & performance"
117,"Pre-size Dictionary capacity","Pass capacity to Dictionary constructor to avoid resizing/rehashing.","runtime-performance,collections","https://www.youtube.com/watch?v=V2uRyxffnHA","08:04","Runtime & performance"
118,"Use TrimExcess","Use TrimExcess() to free unused memory in large lists that have shrunk.","runtime-performance,memory","https://www.youtube.com/watch?v=V2uRyxffnHA","08:25","Runtime & performance"
119,"IsNullOrWhiteSpace vs IsNullOrEmpty","IsNullOrWhiteSpace covers null, empty, and ' ' strings. Usually safer for input validation.","tooling,validation","https://www.youtube.com/watch?v=V2uRyxffnHA","08:54","Tooling & DX"
120,"Default vs Class vs Struct","default(Struct) is a zeroed instance; default(Class) is null.","language,gotchas","https://www.youtube.com/watch?v=V2uRyxffnHA","09:29","Language & syntax"
121,"Immutable properties with Init","Use 'init' setters to enforce immutability after construction.","design,immutability","https://www.youtube.com/watch?v=V2uRyxffnHA","10:03","Design & architecture"
122,"Swap values with tuples","Swap variables using (a, b) = (b, a).","language,syntax","https://www.youtube.com/watch?v=V2uRyxffnHA","10:18","Language & syntax"
123,"Dispose CancellationTokenSource","Always dispose CTS to free the underlying timer resources.","async,best-practices","https://www.youtube.com/watch?v=V2uRyxffnHA","10:42","Design & architecture"
124,"Pattern matching variable declaration","Check type and declare variable in one line: if (obj is User u).","language,syntax","https://www.youtube.com/watch?v=V2uRyxffnHA","11:02","Language & syntax"
125,"Stopwatch.GetTimestamp","Use Stopwatch.GetTimestamp() for high-precision benchmarking instead of DateTime.","tooling,benchmarking","https://www.youtube.com/watch?v=V2uRyxffnHA","11:25","Tooling & DX"
126,"CountBy","(NET 9) efficiently count key occurrences in a collection without grouping.","language,linq,csharp-13","https://www.youtube.com/watch?v=V2uRyxffnHA","11:55","Language & Syntax"
127,"AggregateBy","(NET 9) Perform aggregations on groups without grouping the whole collection.","language,linq,csharp-13","https://www.youtube.com/watch?v=V2uRyxffnHA","12:20","Language & Syntax"
128,"Index (NET 9)","New indexing features in .NET 9 allow for cleaner access patterns.","language,collections,net9","https://www.youtube.com/watch?v=V2uRyxffnHA","12:45","Language & Syntax"
129,"Closures","Be aware that capturing variables in lambdas extends their lifetime.","language,memory,gotchas","https://www.youtube.com/watch?v=V2uRyxffnHA","13:10","Language & Syntax"
130,"Interceptors","(C# 12) Advanced feature allowing source generators to hijack method calls at compile time.","language,compiler,advanced","https://www.youtube.com/watch?v=V2uRyxffnHA","13:35","Language & Syntax"
131,"Inline Arrays","Fixed-size struct arrays that avoid heap allocation. Great for small buffers.","language,performance,memory","https://www.youtube.com/watch?v=V2uRyxffnHA","14:02","Language & Syntax"
132,"AsNoTracking","Use AsNoTracking for read-only EF Core queries to skip change tracking overhead.","ef-core,performance","https://www.youtube.com/watch?v=V2uRyxffnHA","14:23","Data & Entity Framework"
133,"ExecuteUpdate","Update multiple rows in EF Core 7+ without loading entities into memory.","ef-core,performance,sql","https://www.youtube.com/watch?v=V2uRyxffnHA","14:50","Data & Entity Framework"
134,"ExecuteDelete","Delete multiple rows in EF Core 7+ with a single SQL command.","ef-core,performance,sql","https://www.youtube.com/watch?v=V2uRyxffnHA","15:15","Data & Entity Framework"
135,"Compile Queries","Pre-compile EF Core queries to skip the query translation phase on subsequent executions.","ef-core,performance","https://www.youtube.com/watch?v=V2uRyxffnHA","15:40","Data & Entity Framework"
136,"DbContext Pooling","Reuse DbContext instances to save on allocation costs in high-throughput apps.","ef-core,performance","https://www.youtube.com/watch?v=V2uRyxffnHA","16:05","Data & Entity Framework"
137,"Compiled Models","Optimize EF Core startup time by pre-compiling the model metadata.","ef-core,performance,startup","https://www.youtube.com/watch?v=V2uRyxffnHA","16:35","Data & Entity Framework"
138,"Migration Bundles","Package EF migrations into a standalone executable for safer deployments.","ef-core,devops,deployment","https://www.youtube.com/watch?v=V2uRyxffnHA","17:00","Data & Entity Framework"
139,"Split Queries","Use AsSplitQuery to avoid cartesian explosion when loading related collections.","ef-core,performance,sql","https://www.youtube.com/watch?v=V2uRyxffnHA","17:30","Data & Entity Framework"
140,"Filtered Include","Apply Where clauses directly inside .Include() to load only specific related data.","ef-core,linq,performance","https://www.youtube.com/watch?v=V2uRyxffnHA","18:00","Data & Entity Framework"
141,"Temporal Tables","Use SQL Server Temporal Tables with EF Core to automatically track data history.","ef-core,database,history","https://www.youtube.com/watch?v=V2uRyxffnHA","18:30","Data & Entity Framework"
142,"JSON Columns","EF Core 7+ supports mapping properties to JSON columns in SQL Server/Postgres.","ef-core,database,json","https://www.youtube.com/watch?v=V2uRyxffnHA","19:00","Data & Entity Framework"
143,"Bulk Updates","Use libraries or new EF features to handle bulk inserts/updates efficiently.","ef-core,performance","https://www.youtube.com/watch?v=V2uRyxffnHA","19:30","Data & Entity Framework"
144,"HybridCache","(NET 9) New caching abstraction that combines in-memory and distributed caching (like Redis).","asp.net,caching,performance","https://www.youtube.com/watch?v=V2uRyxffnHA","20:00","Data & Entity Framework"
145,"OutputCaching","Cache entire HTTP responses in ASP.NET Core with highly configurable policies.","asp.net,caching,performance","https://www.youtube.com/watch?v=V2uRyxffnHA","20:30","Tooling & Debugging"
146,"ResponseCompression","Compress API responses (Gzip/Brotli) to reduce bandwidth usage.","asp.net,performance,network","https://www.youtube.com/watch?v=V2uRyxffnHA","20:55","Tooling & Debugging"
147,"RateLimiting","Protect APIs with built-in rate limiting policies (FixedWindow, TokenBucket).","asp.net,security","https://www.youtube.com/watch?v=V2uRyxffnHA","21:10","Tooling & Debugging"
148,"YARP","Build high-performance reverse proxies in C# using YARP.","architecture,networking","https://www.youtube.com/watch?v=V2uRyxffnHA","21:45","Tooling & Debugging"
149,"Header Propagation","Automatically forward headers (like Correlation IDs) to downstream services.","asp.net,microservices","https://www.youtube.com/watch?v=V2uRyxffnHA","22:10","Tooling & Debugging"
150,"Health Checks","Expose health endpoints for load balancers and monitoring tools.","asp.net,devops","https://www.youtube.com/watch?v=V2uRyxffnHA","22:30","Tooling & Debugging"
151,"FastEndpoints","A library alternative to Controllers/Minimal APIs that organizes code by feature (REPR pattern).","architecture,libraries","https://www.youtube.com/watch?v=V2uRyxffnHA","23:15","Security & Web API"
152,"Carter","A library extending Minimal APIs to help organize endpoints into modules.","architecture,libraries","https://www.youtube.com/watch?v=V2uRyxffnHA","23:45","Security & Web API"
153,"Channels","Use System.Threading.Channels for high-perf producer/consumer queues.","threading,performance","https://www.youtube.com/watch?v=V2uRyxffnHA","24:15","Async & Threading"
154,"Parallel.ForEachAsync","Efficiently process collections in parallel with async support and concurrency limits.","async,performance","https://www.youtube.com/watch?v=V2uRyxffnHA","24:50","Async & Threading"
